date,long_leg_return,short_leg_return,gross_return,turnover,cost_bps,net_return,cumulative_net
2020-02-03,-0.01991236298847634,-0.0115725587433605,-0.008339804245115838,1.0,36.0822456215231,-0.011948028807268148,-0.011948028807268148
2020-02-04,0.00757426361750668,0.015880152490768417,-0.008305888873261738,0.8,36.672107834781976,-0.011973099656739936,-0.023921128464008082
2020-02-05,0.01588656588965006,0.00931787058136366,0.006568695308286401,0.0,0.0,0.006568695308286401,-0.01735243315572168
2020-02-06,0.01260862524013076,0.01066660220437682,0.0019420230357539408,0.0,0.0,0.0019420230357539408,-0.015410410119967738
2020-02-07,-0.0023917265546513,-0.0039540367016448795,0.0015623101469935795,0.0,0.0,0.0015623101469935795,-0.013848099972974159
2020-02-10,-0.014357613907428462,-0.01424926678146764,-0.00010834712596082159,0.0,0.0,-0.00010834712596082159,-0.01395644709893498
2020-02-11,0.0089753068576547,0.00896066450218266,1.4642355472039431e-05,0.0,0.0,1.4642355472039431e-05,-0.01394180474346294
2020-02-12,0.00607966387072868,0.0018120370233546197,0.00426762684737406,0.0,0.0,0.00426762684737406,-0.009674177896088881
2020-02-13,0.00343432796418922,0.00810330629382524,-0.00466897832963602,0.0,0.0,-0.00466897832963602,-0.0143431562257249
2020-02-14,0.0033838198800426205,-0.00554292773221628,0.0089267476122589,0.0,0.0,0.0089267476122589,-0.0054164086134659995
2020-02-17,0.0069702575512030195,-0.00046539162062710006,0.0074356491718301195,0.0,0.0,0.0074356491718301195,0.00201924055836412
2020-02-18,-0.004881594599668621,-0.008457957199571601,0.00357636259990298,0.0,0.0,0.00357636259990298,0.0055956031582671
2020-02-19,0.00557049783825856,0.00750655126302444,-0.0019360534247658797,0.0,0.0,-0.0019360534247658797,0.0036595497335012205
2020-02-20,0.0123359821382992,0.01175429959742072,0.0005816825408784809,0.0,0.0,0.0005816825408784809,0.004241232274379701
2020-02-21,-0.0045073789135771205,-0.006768620574732981,0.0022612416611558607,0.0,0.0,0.0022612416611558607,0.006502473935535562
2020-02-24,-0.015296732431837939,-0.004051494276040299,-0.01124523815579764,0.0,0.0,-0.01124523815579764,-0.004742764220262078
2020-02-25,-0.00795163399939978,-0.0057852421047840195,-0.00216639189461576,0.0,0.0,-0.00216639189461576,-0.006909156114877838
2020-02-26,-0.020109441251325223,-0.01813292896094182,-0.0019765122903834045,0.0,0.0,-0.0019765122903834045,-0.008885668405261242
2020-02-27,0.0023304142922062,0.00451170837254794,-0.00218129408034174,0.0,0.0,-0.00218129408034174,-0.011066962485602983
2020-02-28,-0.025367147157479376,-0.02646354726638648,0.001096400108907103,0.0,0.0,0.001096400108907103,-0.00997056237669588
2020-03-02,-0.00344013584760824,-0.0037268687736959406,0.0002867329260877005,0.0,0.0,0.0002867329260877005,-0.009683829450608179
2020-03-03,0.019957267730063698,0.016026974461113543,0.003930293268950155,0.8,35.35952608122609,0.00039434066082754586,-0.009289488789780634
2020-03-04,0.009218522011036479,-8.985126686150008e-05,0.009308373277897979,0.0,0.0,0.009308373277897979,1.8884488117345416e-05
2020-03-05,0.014356536754490001,0.00925932034356088,0.0050972164109291205,0.0,0.0,0.0050972164109291205,0.005116100899046466
2020-03-06,-0.009705378450640359,-0.0060835649949369,-0.003621813455703459,0.0,0.0,-0.003621813455703459,0.0014942874433430068
2020-03-09,-0.044919574171170304,-0.029098648823076122,-0.01582092534809418,0.0,0.0,-0.01582092534809418,-0.014326637904751175
2020-03-10,0.025011231900863025,0.003994376073950321,0.021016855826912706,0.0,0.0,0.021016855826912706,0.006690217922161531
2020-03-11,0.0077493372165581805,0.00971087260295576,-0.00196153538639758,0.0,0.0,-0.00196153538639758,0.004728682535763951
2020-03-12,-0.02141230630440144,-0.0169516653022048,-0.00446064100219664,0.0,0.0,-0.00446064100219664,0.0002680415335673111
2020-03-13,-0.08785286861091424,-0.057051107798863396,-0.03080176081205084,0.0,0.0,-0.03080176081205084,-0.03053371927848353
2020-03-16,-0.02729351670876798,-0.02382300257073216,-0.00347051413803582,0.0,0.0,-0.00347051413803582,-0.03400423341651935
2020-03-17,0.00720535403285818,-0.00509396244731598,0.01229931648017416,0.0,0.0,0.01229931648017416,-0.021704916936345187
2020-03-18,-0.0071286961113597985,0.007930114594894079,-0.015058810706253877,0.0,0.0,-0.015058810706253877,-0.03676372764259907
2020-03-19,0.0176314029047591,0.042818054448782075,-0.025186651544022977,0.0,0.0,-0.025186651544022977,-0.061950379186622044
2020-03-20,0.028581164781609335,0.0186135436352685,0.009967621146340835,0.0,0.0,0.009967621146340835,-0.05198275804028121
2020-03-23,-0.07566724634519954,-0.05017426889311292,-0.025492977452086625,0.0,0.0,-0.025492977452086625,-0.07747573549236783
2020-03-24,0.051265103970548676,0.033005814316188896,0.01825928965435978,0.0,0.0,0.01825928965435978,-0.05921644583800805
2020-03-25,0.044489014735666584,0.032913395157324,0.011575619578342584,0.0,0.0,0.011575619578342584,-0.04764082625966547
2020-03-26,-0.0016975217222039798,0.0007605209102188399,-0.0024580426324228195,0.0,0.0,-0.0024580426324228195,-0.05009886889208828
2020-03-27,0.027277027218708956,0.02385455754188174,0.0034224696768272167,0.0,0.0,0.0034224696768272167,-0.046676399215261066
2020-03-30,-0.015060567343276602,-0.029905265825468264,0.014844698482191662,0.0,0.0,0.014844698482191662,-0.0318317007330694
2020-03-31,0.02556080593284874,0.02402792080216168,0.001532885130687063,0.0,0.0,0.001532885130687063,-0.030298815602382338
2020-04-01,0.0007316053224960399,0.006634198270984201,-0.005902592948488161,0.0,0.0,-0.005902592948488161,-0.0362014085508705
2020-04-02,-0.00955757414301062,-0.007021044764291,-0.00253652937871962,0.8,39.70505168688964,-0.006507034547408584,-0.042708443098279085
2020-04-03,-0.010602552509155181,-0.015162803694895421,0.0045602511857402404,0.0,0.0,0.0045602511857402404,-0.03814819191253885
2020-04-06,0.010897600814797579,0.01011981219021788,0.0007777886245796985,0.0,0.0,0.0007777886245796985,-0.03737040328795915
2020-04-07,0.0194900856732589,0.022048557029092603,-0.0025584713558337024,0.0,0.0,-0.0025584713558337024,-0.039928874643792855
2020-04-08,-0.003119301188611,-0.00617286920538282,0.00305356801677182,0.0,0.0,0.00305356801677182,-0.036875306627021036
2020-04-09,0.01166419841372902,0.00984636590138074,0.0018178325123482802,0.30000000000000004,20.61052134149641,-0.00024321962180136065,-0.0371185262488224
2020-04-14,0.00454668265060984,7.889202572400333e-07,0.0045458937303526,0.0,0.0,0.0045458937303526,-0.0325726325184698
2020-04-15,0.01508982954046914,0.012689044086902057,0.002400785453567084,0.19999999999999996,10.297031569398873,0.0013710822966271966,-0.0312015502218426
2020-04-16,-0.00762079084252244,7.077091758153995e-05,-0.00769156176010398,0.30000000000000004,18.1512253558369,-0.00950668429568767,-0.04070823451753027
2020-04-17,0.02325318487579968,0.01935669558823132,0.0038964892875683575,0.6,37.35345143233068,0.0001611441443352896,-0.04054709037319498
2020-04-20,0.0056564863413043395,0.010480054859597101,-0.0048235685182927614,0.0,0.0,-0.0048235685182927614,-0.045370658891487746
2020-04-21,0.0011478991990159803,-0.006530273352884519,0.0076781725519005,0.0,0.0,0.0076781725519005,-0.037692486339587244
2020-04-22,-0.010228800226282902,-0.00917441310600282,-0.0010543871202800814,0.0,0.0,-0.0010543871202800814,-0.038746873459867326
2020-04-23,0.00928776046761746,0.00672438718813366,0.0025633732794837997,0.0,0.0,0.0025633732794837997,-0.03618350018038353
2020-04-24,-0.0033634462587000995,-0.00457074728793348,0.0012073010292333805,0.0,0.0,0.0012073010292333805,-0.03497619915115015
2020-04-27,0.00927907743606416,-0.00216124933134058,0.011440326767404741,0.0,0.0,0.011440326767404741,-0.023535872383745406
2020-04-28,0.00534166002727052,0.00456402200352018,0.00077763802375034,0.0,0.0,0.00077763802375034,-0.022758234359995067
2020-04-29,0.00128113136509544,0.013502513329039678,-0.012221381963944239,0.0,0.0,-0.012221381963944239,-0.034979616323939304
2020-05-04,-0.031344887606650565,-0.024245753099742962,-0.007099134506907603,0.0,0.0,-0.007099134506907603,-0.0420787508308469
2020-05-05,0.014729485796548281,0.011768000277445099,0.002961485519103182,0.8,35.29944747704362,-0.00056845922860118,-0.04264721005944808
2020-05-06,0.00181252617066538,-0.00117949888076012,0.0029920250514255,0.0,0.0,0.0029920250514255,-0.039655185008022585
2020-05-07,0.00396419137894544,0.0034063317913396,0.0005578595876058398,0.0,0.0,0.0005578595876058398,-0.039097325420416745
2020-05-08,0.013578643022866122,0.00961869681772424,0.0039599462051418816,0.0,0.0,0.0039599462051418816,-0.035137379215274864
2020-05-11,0.017866490175254345,0.01078024126256568,0.007086248912688664,0.0,0.0,0.007086248912688664,-0.0280511303025862
2020-05-12,-0.00284462508148014,-0.00591746049731408,0.00307283541583394,0.0,0.0,0.00307283541583394,-0.02497829488675226
2020-05-13,-0.004460961272979099,-0.01132007869209776,0.006859117419118661,0.0,0.0,0.006859117419118661,-0.0181191774676336
2020-05-14,-0.0042313144771169795,0.003122132012027921,-0.0073534464891449,0.0,0.0,-0.0073534464891449,-0.0254726239567785
2020-05-15,-0.00629193185104592,-0.0009077409179729399,-0.0053841909330729805,0.0,0.0,-0.0053841909330729805,-0.03085681488985148
2020-05-18,-0.008485785760827879,-0.00820425841828166,-0.000281527342546219,0.0,0.0,-0.000281527342546219,-0.031138342232397698
2020-05-19,0.023009327113290998,0.01557089794914206,0.007438429164148937,0.0,0.0,0.007438429164148937,-0.02369991306824876
2020-05-20,0.00320914184340218,0.00019642790560974003,0.0030127139377924403,0.0,0.0,0.0030127139377924403,-0.02068719913045632
2020-05-21,0.005145850267427121,0.006921671743939541,-0.0017758214765124201,0.0,0.0,-0.0017758214765124201,-0.02246302060696874
2020-05-22,-0.018287491189068122,-0.021310406625773763,0.0030229154367056414,0.0,0.0,0.0030229154367056414,-0.019440105170263098
2020-05-25,-0.00560197681308198,-0.007572022091007981,0.001970045277926001,0.0,0.0,0.001970045277926001,-0.017470059892337096
2020-05-26,0.02304810951556802,0.01112475268778724,0.01192335682778078,0.0,0.0,0.01192335682778078,-0.005546703064556317
2020-05-27,0.00599243035995054,0.0007173281637895602,0.00527510219616098,0.0,0.0,0.00527510219616098,-0.00027160086839533686
2020-05-28,-0.005462925749801141,-0.00506957830447186,-0.0003933474453292809,0.0,0.0,-0.0003933474453292809,-0.0006649483137246177
2020-05-29,-0.0035027448290630607,-0.00846740070758048,0.0049646558785174195,0.0,0.0,0.0049646558785174195,0.004299707564792802
2020-06-01,0.01674988873232396,0.021368907763466918,-0.004619019031142958,0.0,0.0,-0.004619019031142958,-0.0003193114663501565
2020-06-02,0.0036570171695015597,0.013940618492997301,-0.01028360132349574,0.0,0.0,-0.01028360132349574,-0.010602912789845896
2020-06-03,0.018893704017761182,0.00930272426808006,0.009590979749681122,0.0,0.0,0.009590979749681122,-0.0010119330401647739
2020-06-04,0.02353331702646014,0.00878768835056618,0.01474562867589396,0.0,0.0,0.01474562867589396,0.013733695635729187
2020-06-05,0.0017693205561933197,-0.00027665037314489994,0.0020459709293382195,0.0,0.0,0.0020459709293382195,0.015779666565067407
2020-06-08,0.006310342484954259,0.008878657201763559,-0.0025683147168092998,0.0,0.0,-0.0025683147168092998,0.013211351848258108
2020-06-09,0.00032785384687160026,0.00461993510591876,-0.00429208125904716,0.0,0.0,-0.00429208125904716,0.008919270589210947
2020-06-10,0.01015235521155848,0.00588539993488186,0.004266955276676621,0.0,0.0,0.004266955276676621,0.01318622586588757
2020-06-11,0.0011931435228376,0.00398441866608944,-0.0027912751432518394,0.0,0.0,-0.0027912751432518394,0.010394950722635729
2020-06-12,-0.030550795219499098,-0.02583371771363292,-0.004717077505866179,0.0,0.0,-0.004717077505866179,0.00567787321676955
2020-06-15,-0.009163488360031499,-0.008493444433733722,-0.0006700439262977767,0.0,0.0,-0.0006700439262977767,0.0050078292904717735
2020-06-16,0.025399823061936055,0.02541234621896012,-1.2523157024064285e-05,0.0,0.0,-1.2523157024064285e-05,0.004995306133447709
2020-06-17,0.00219412077794192,0.004481559766729359,-0.0022874389887874392,0.0,0.0,-0.0022874389887874392,0.00270786714466027
2020-06-18,0.0004661032784111801,0.00505033059022214,-0.00458422731181096,0.0,0.0,-0.00458422731181096,-0.0018763601671506897
2020-06-19,-0.00239000897362536,0.0008917403731668,-0.0032817493467921597,0.0,0.0,-0.0032817493467921597,-0.005158109513942849
2020-06-22,0.00470297844599864,-0.0009875561103807602,0.0056905345563794,0.0,0.0,0.0056905345563794,0.0005324250424365504
2020-06-23,-0.00172135692104212,0.0051714783480678195,-0.006892835269109939,0.0,0.0,-0.006892835269109939,-0.006360410226673389
2020-06-24,-0.009806161209200021,0.0021271881684846398,-0.01193334937768466,0.0,0.0,-0.01193334937768466,-0.01829375960435805
2020-06-26,0.0045668649716949,-0.00580401038385752,0.010370875355552419,0.0,0.0,0.010370875355552419,-0.00792288424880563
2020-06-29,0.006260856408802101,-0.00881689836601662,0.015077754774818722,0.0,0.0,0.015077754774818722,0.007154870526013091
2020-06-30,0.01112209293902246,0.006590173294794601,0.00453191964422786,0.0,0.0,0.00453191964422786,0.011686790170240952
2020-07-02,0.014819463430265477,0.00277224317084202,0.012047220259423458,0.0,0.0,0.012047220259423458,0.023734010429664408
2020-07-03,0.01108039449342594,0.004850691850193359,0.00622970264323258,0.0,0.0,0.00622970264323258,0.02996371307289699
2020-07-06,0.013610292618213601,0.0124966128862067,0.0011136797320069006,0.0,0.0,0.0011136797320069006,0.03107739280490389
2020-07-07,0.00830516668116362,0.011093936145899881,-0.0027887694647362616,0.0,0.0,-0.0027887694647362616,0.02828862334016763
2020-07-08,0.0022214999006187,0.0059457827740455405,-0.0037242828734268406,0.0,0.0,-0.0037242828734268406,0.02456434046674079
2020-07-09,0.00972675066484114,0.006636414256304721,0.003090336408536419,0.0,0.0,0.003090336408536419,0.027654676875277208
2020-07-10,-0.0036330121872632805,-0.010229056292928921,0.00659604410566564,0.0,0.0,0.00659604410566564,0.034250720980942846
2020-07-13,0.0020563112560693614,-0.002269947694254261,0.004326258950323622,0.0,0.0,0.004326258950323622,0.03857697993126647
2020-07-14,-0.02133764402186532,-0.0236669773991939,0.0023293333773285775,0.0,0.0,0.0023293333773285775,0.04090631330859505
2020-07-15,0.026159397119473675,0.016674239936609058,0.009485157182864617,0.0,0.0,0.009485157182864617,0.05039147049145967
2020-07-16,0.00996291520980028,-0.0055450087278407,0.01550792393764098,0.0,0.0,0.01550792393764098,0.06589939442910066
2020-07-17,0.00169641904541818,0.0006451422896861202,0.00105127675573206,0.0,0.0,0.00105127675573206,0.06695067118483272
2020-07-20,0.012106504504577838,0.0070082715382618595,0.005098232966315979,0.0,0.0,0.005098232966315979,0.0720489041511487
2020-07-21,0.03602459470116454,0.030832017014515302,0.005192577686649241,0.0,0.0,0.005192577686649241,0.07724148183779794
2020-07-22,-0.01245793449644656,-0.0100109971035769,-0.00244693739286966,0.0,0.0,-0.00244693739286966,0.07479454444492828
2020-07-23,0.01240899903443756,0.01097339384213708,0.0014356051923004806,0.0,0.0,0.0014356051923004806,0.07623014963722877
2020-07-24,-0.017787498053303062,-0.02011172552343458,0.0023242274701315187,0.0,0.0,0.0023242274701315187,0.07855437710736028
2020-07-27,0.00876746532632702,0.00391335083198932,0.0048541144943377,0.0,0.0,0.0048541144943377,0.08340849160169798
2020-07-28,0.0203475370313737,0.0269866856025961,-0.0066391485712224,0.0,0.0,-0.0066391485712224,0.07676934303047558
2020-07-29,-0.004385957426986819,-0.0073169772645064,0.0029310198375195806,0.0,0.0,0.0029310198375195806,0.07970036286799516
2020-07-30,0.01051153992232592,0.005275710184182639,0.005235829738143282,0.0,0.0,0.005235829738143282,0.08493619260613844
2020-07-31,0.01382231750846558,0.00397827357261462,0.00984404393585096,0.0,0.0,0.00984404393585096,0.0947802365419894
2020-08-03,0.01574033763324844,0.00505083253309456,0.01068950510015388,0.0,0.0,0.01068950510015388,0.10546974164214329
2020-08-04,0.00962986013990828,0.008976461487380741,0.0006533986525275384,0.9,36.64060705868665,-0.0030106620533411265,0.10245907958880217
2020-08-05,0.0042988874002464995,0.0009488621932758998,0.0033500252069706,0.0,0.0,0.0033500252069706,0.10580910479577277
2020-08-06,0.00411077035397588,0.0031984720624745,0.0009122982915013805,0.0,0.0,0.0009122982915013805,0.10672140308727415
