market,target,fold_pair_label,top10_overlap_pct,rank_corr
HK,intraday,50_vs_51,60.0,0.3532
HK,intraday,51_vs_52,70.0,0.5364
HK,intraday,52_vs_53,90.0,0.8442
HK,intraday,53_vs_54,60.0,0.3948
HK,intraday,54_vs_55,80.0,0.7545
HK,intraday,55_vs_56,70.0,0.7883
HK,intraday,56_vs_57,60.0,0.6351
HK,intraday,57_vs_58,80.0,0.6597
HK,intraday,58_vs_59,70.0,0.7091
HK,intraday,59_vs_60,80.0,0.7325
HK,intraday,60_vs_61,70.0,0.4948
HK,intraday,61_vs_62,60.0,0.4961
HK,intraday,62_vs_63,80.0,0.5519
HK,intraday,63_vs_64,80.0,0.7753
HK,intraday,64_vs_65,80.0,0.7052
HK,intraday,65_vs_66,70.0,0.7909
HK,intraday,66_vs_67,70.0,0.6234
HK,intraday,67_vs_68,70.0,0.6351
HK,intraday,68_vs_69,80.0,0.7351
HK,intraday,69_vs_70,90.0,0.7584
HK,intraday,70_vs_71,80.0,0.8403
HK,intraday,71_vs_72,80.0,0.6571
HK,intraday,72_vs_73,80.0,0.7909
HK,intraday,73_vs_74,80.0,0.7896
HK,cc,0_vs_1,50.0,0.1961
HK,cc,1_vs_2,60.0,0.3987
HK,cc,2_vs_3,80.0,0.5675
HK,cc,3_vs_4,70.0,0.5987
HK,cc,4_vs_5,60.0,0.5519
HK,cc,5_vs_6,50.0,0.4714
HK,cc,6_vs_7,60.0,0.6364
HK,cc,7_vs_8,90.0,0.7675
HK,cc,8_vs_9,60.0,0.661
HK,cc,9_vs_10,50.0,0.5805
HK,cc,10_vs_11,70.0,0.6818
HK,cc,11_vs_12,70.0,0.6286
HK,cc,12_vs_13,60.0,0.3481
HK,cc,13_vs_14,70.0,0.4831
HK,cc,14_vs_15,80.0,0.7299
HK,cc,15_vs_16,90.0,0.887
HK,cc,16_vs_17,70.0,0.8156
HK,cc,17_vs_18,70.0,0.4935
HK,cc,18_vs_19,60.0,0.4558
HK,cc,19_vs_20,70.0,0.8065
HK,cc,20_vs_21,80.0,0.8299
HK,cc,21_vs_22,80.0,0.7221
HK,cc,22_vs_23,80.0,0.7234
HK,cc,23_vs_24,80.0,0.7065
HK,cc,24_vs_25,60.0,0.4013
HK,cc,25_vs_26,70.0,0.6494
HK,cc,26_vs_27,80.0,0.5948
HK,cc,27_vs_28,60.0,0.5026
HK,cc,28_vs_29,90.0,0.8818
HK,cc,29_vs_30,70.0,0.7818
HK,cc,30_vs_31,70.0,0.8065
HK,cc,31_vs_32,70.0,0.5818
HK,cc,32_vs_33,60.0,0.526
