model,universe,target,strategy,spread_mult,borrow_mult,net_sharpe,ann_return,max_drawdown,spread_cost,borrow_cost
lgbm,main_hk,gap,tercile_ls,0.5,1.0,0.18164909693561773,0.019550261730602723,-0.5573555042759846,1.0968002976190476,0.21765873015873016
lgbm,main_hk,gap,tercile_ls,1.0,1.0,-1.8127996506932829,-0.19749017910356856,-1.381042839340962,2.1936005952380953,0.21765873015873016
lgbm,main_hk,gap,tercile_ls,1.5,1.0,-3.7069237981615073,-0.41453061993773993,-2.5917356323872704,3.2904008928571447,0.21765873015873016
lgbm,main_hk,gap,tercile_ls,2.0,1.0,-5.437002112520661,-0.6315710607719109,-3.8936075231193747,4.3872011904761905,0.21765873015873016
lgbm,main_hk,intraday,tercile_ls,0.5,1.0,-0.9518283591027481,-0.20586493342868525,-1.4439650674021212,1.5310949404761902,0.21765873015873016
lgbm,main_hk,intraday,tercile_ls,1.0,1.0,-2.335174858558528,-0.5068376057155138,-3.1921740808175354,3.0621898809523804,0.21765873015873016
lgbm,main_hk,intraday,tercile_ls,1.5,1.0,-3.6959199397081766,-0.8078102780023425,-4.959292046840069,4.593284821428573,0.21765873015873016
lgbm,main_hk,intraday,tercile_ls,2.0,1.0,-5.0208022057424095,-1.1087829502891708,-6.726410012862581,6.124379761904761,0.21765873015873016
lgbm,main_hk,cc,tercile_ls,0.5,1.0,-0.027620695479603163,-0.006566762423413996,-0.7945189202680611,1.1293339285714286,0.21765873015873016
lgbm,main_hk,cc,tercile_ls,1.0,1.0,-0.9639428560018306,-0.22980645954698914,-1.61414115819448,2.258667857142857,0.21765873015873016
lgbm,main_hk,cc,tercile_ls,1.5,1.0,-1.8892836024376285,-0.4530461566705645,-2.788381284659239,3.3880017857142875,0.21765873015873016
lgbm,main_hk,cc,tercile_ls,2.0,1.0,-2.7954830365697894,-0.6762858537941394,-4.132307704819535,4.517335714285714,0.21765873015873016
lgbm,main_kr,gap,tercile_ls,0.5,1.0,1.3339254664586149,0.1293227703479356,-0.13009071880593726,0.8196888888888889,0.17476190476190476
