model,universe,target,strategy,spread_mult,borrow_mult,net_sharpe,ann_return,max_drawdown,spread_cost,borrow_cost
lgbm,main_hk,gap,tercile_ls,0.5,1.0,-4.066752307809172,-0.45648804849373636,-2.8443598482012824,3.9756986499281455,0.21765873015873016
lgbm,main_hk,gap,tercile_ls,1.0,1.0,-8.749525519247204,-1.1495667995522465,-7.004752279427635,7.951397299856291,0.21765873015873016
lgbm,main_hk,gap,tercile_ls,1.5,1.0,-11.508007620504527,-1.8426455506107566,-11.171112854149502,11.927095949784439,0.21765873015873016
lgbm,main_hk,gap,tercile_ls,2.0,1.0,-13.055030024559784,-2.535724301669267,-15.338934382174289,15.902794599712582,0.21765873015873016
lgbm,main_hk,intraday,tercile_ls,0.5,1.0,-3.974382187013625,-0.8721518523523994,-5.315931432545753,5.560544402538653,0.21765873015873016
lgbm,main_hk,intraday,tercile_ls,1.0,1.0,-7.975298833053004,-1.8394114435629423,-11.137611194754031,11.121088805077306,0.21765873015873016
lgbm,main_hk,intraday,tercile_ls,1.5,1.0,-11.28107336385935,-2.8066710347734856,-16.97890669668727,16.68163320761596,0.21765873015873016
lgbm,main_hk,intraday,tercile_ls,2.0,1.0,-13.84806644010013,-3.773930625984028,-22.82329473809391,22.242177610154613,0.21765873015873016
lgbm,main_hk,cc,tercile_ls,0.5,1.0,-2.1053849751262192,-0.5063120414695401,-3.1107695503020554,4.151602997088477,0.21765873015873016
lgbm,main_hk,cc,tercile_ls,1.0,1.0,-4.897879078143285,-1.2292970176392415,-7.463068029604165,8.303205994176954,0.21765873015873016
lgbm,main_hk,cc,tercile_ls,1.5,1.0,-7.273148742820526,-1.952281993808943,-11.822520099717524,12.454808991265432,0.21765873015873016
lgbm,main_hk,cc,tercile_ls,2.0,1.0,-9.175847640508557,-2.6752669699786438,-16.183023151526434,16.60641198835391,0.21765873015873016
lgbm,main_kr,gap,tercile_ls,0.5,1.0,-3.5982327528392735,-0.3597346629539188,-2.2584341323021793,3.775381233804462,0.17476190476190476
lgbm,main_kr,gap,tercile_ls,1.0,1.0,-9.110326855976853,-1.0277770010748524,-6.220284562946086,7.550762467608924,0.17476190476190476
lgbm,main_kr,gap,tercile_ls,1.5,1.0,-12.75319595641809,-1.6958193391957863,-10.256300156344293,11.326143701413384,0.17476190476190476
lgbm,main_kr,gap,tercile_ls,2.0,1.0,-14.992869235090886,-2.36386167731672,-14.292315749742503,15.101524935217848,0.17476190476190476
lgbm,main_kr,intraday,tercile_ls,0.5,1.0,-3.426560259983283,-0.6497104620996152,-3.9266231499115616,4.048771129908598,0.17476190476190476
lgbm,main_kr,intraday,tercile_ls,1.0,1.0,-6.8656126172082725,-1.3648911192812017,-8.248925296290762,8.097542259817196,0.17476190476190476
lgbm,main_kr,intraday,tercile_ls,1.5,1.0,-9.71497587985484,-2.0800717764627885,-12.571227442669931,12.146313389725794,0.17476190476190476
lgbm,main_kr,intraday,tercile_ls,2.0,1.0,-11.92816839533702,-2.7952524336443747,-16.89352958904915,16.195084519634392,0.17476190476190476
lgbm,main_kr,cc,tercile_ls,0.5,1.0,-3.4966039002051525,-0.7062462874285458,-4.315385278662255,4.025093364606363,0.17476190476190476
lgbm,main_kr,cc,tercile_ls,1.0,1.0,-6.688555018299767,-1.4180862380079995,-8.583488207931179,8.050186729212726,0.17476190476190476
lgbm,main_kr,cc,tercile_ls,1.5,1.0,-9.33894505742563,-2.1299261885874534,-12.884183348177258,12.075280093819085,0.17476190476190476
