model,universe,target,strategy,spread_mult,borrow_mult,net_sharpe,ann_return,max_drawdown,spread_cost,borrow_cost
lgbm,index_kr,cc,index_threshold,1.0,0.0,0.8531578964792496,0.10027337237199713,-0.20000433015446975,0.185,0.0
lgbm,index_kr,cc,index_threshold,1.0,1.0,0.8494924613609343,0.09983973242455953,-0.2013138539639937,0.185,0.002619047619047619
lgbm,index_kr,cc,index_threshold,1.0,1.5,0.8476594850731077,0.09962291245084075,-0.20196861586875547,0.185,0.003928571428571429
lgbm,index_kr,cc,index_threshold,1.0,2.0,0.845826337325042,0.09940609247712197,-0.2026233777735173,0.185,0.005238095238095238
tcn,main_hk,gap,tercile_ls,1.0,0.0,-10.149249364163696,-1.475974180779752,-8.931173877098937,9.684709382294061,0.0
tcn,main_hk,gap,tercile_ls,1.0,1.0,-10.356117331256192,-1.5119649944280458,-9.148435781860849,9.684709382294061,0.21765873015873016
tcn,main_hk,gap,tercile_ls,1.0,1.5,-10.458639057202511,-1.529960401252193,-9.257066734241796,9.684709382294061,0.3264880952380952
tcn,main_hk,gap,tercile_ls,1.0,2.0,-10.560551001456544,-1.54795580807634,-9.36569768662274,9.684709382294061,0.4353174603174603
tcn,main_hk,intraday,tercile_ls,1.0,0.0,-6.381339537923462,-1.5499620759299153,-9.383529935972621,9.33810751774451,0.0
tcn,main_hk,intraday,tercile_ls,1.0,1.0,-6.519884744667949,-1.5859528895782093,-9.599006126448812,9.33810751774451,0.21765873015873016
tcn,main_hk,intraday,tercile_ls,1.0,1.5,-6.588926061870853,-1.6039482964023561,-9.706744221686916,9.33810751774451,0.3264880952380952
tcn,main_hk,intraday,tercile_ls,1.0,2.0,-6.657811623404977,-1.6219437032265034,-9.814482316925004,9.33810751774451,0.4353174603174603
tcn,main_hk,cc,tercile_ls,1.0,0.0,-5.9528096674535425,-1.5711608929615737,-9.533108106039702,9.102421184556185,0.0
tcn,main_hk,cc,tercile_ls,1.0,1.0,-6.081458982516994,-1.6071517066098673,-9.749973185404782,9.102421184556185,0.21765873015873016
tcn,main_hk,cc,tercile_ls,1.0,1.5,-6.145599215753672,-1.6251471134340143,-9.858405725087321,9.102421184556185,0.3264880952380952
tcn,main_hk,cc,tercile_ls,1.0,2.0,-6.2096151888402735,-1.6431425202581615,-9.966838264769876,9.102421184556185,0.4353174603174603
tcn,main_kr,gap,tercile_ls,1.0,0.0,-10.405959367317916,-1.2634892936872204,-7.6803614692792594,8.610847558436756,0.0
tcn,main_kr,gap,tercile_ls,1.0,1.0,-10.603737318555115,-1.2924059056373187,-7.853377342295123,8.610847558436756,0.17476190476190476
tcn,main_kr,gap,tercile_ls,1.0,1.5,-10.701779715385763,-1.3068642116123683,-7.9398852788030725,8.610847558436756,0.26214285714285723
tcn,main_kr,gap,tercile_ls,1.0,2.0,-10.799256546261216,-1.3213225175874173,-8.026393215311002,8.610847558436756,0.3495238095238095
tcn,main_kr,intraday,tercile_ls,1.0,0.0,-6.617254342365096,-1.392081248637458,-8.413252943154166,9.028355351966532,0.0
tcn,main_kr,intraday,tercile_ls,1.0,1.0,-6.745281099968569,-1.4209978605875568,-8.58801484791606,9.028355351966532,0.17476190476190476
tcn,main_kr,intraday,tercile_ls,1.0,1.5,-6.80909239546318,-1.4354561665626058,-8.675395800297032,9.028355351966532,0.26214285714285723
tcn,main_kr,intraday,tercile_ls,1.0,2.0,-6.872767775270102,-1.4499144725376554,-8.762776752677977,9.028355351966532,0.3495238095238095
tcn,main_kr,cc,tercile_ls,1.0,0.0,-5.8712621344189095,-1.4096184331405734,-8.580157810507002,8.293760021623235,0.0
tcn,main_kr,cc,tercile_ls,1.0,1.0,-5.985199764436009,-1.4385350450906718,-8.754284794634005,8.293760021623235,0.17476190476190476
tcn,main_kr,cc,tercile_ls,1.0,1.5,-6.042028673408649,-1.4529933510657207,-8.84134828669748,8.293760021623235,0.26214285714285723
tcn,main_kr,cc,tercile_ls,1.0,2.0,-6.098763402527956,-1.4674516570407703,-8.92841177876098,8.293760021623235,0.3495238095238095
tcn,index_hk,gap,index_threshold,1.0,0.0,-0.16195491276598872,-0.008180380054989713,-0.1612481369576873,0.0432,0.0
tcn,index_hk,gap,index_threshold,1.0,1.0,-0.16488221070383616,-0.008327921038596274,-0.1618433750529254,0.0432,0.0008928571428571429
tcn,index_hk,gap,index_threshold,1.0,1.5,-0.16634587395262268,-0.008401691530399548,-0.16214099410054444,0.0432,0.0013392857142857143
tcn,index_hk,gap,index_threshold,1.0,2.0,-0.16780954508949725,-0.008475462022202828,-0.1624386131481635,0.0432,0.0017857142857142859
tcn,index_hk,intraday,index_threshold,1.0,0.0,0.0016357234741783038,7.677801528339176e-05,-0.12747961992062612,0.0372,0.0
tcn,index_hk,intraday,index_threshold,1.0,1.0,-0.0021362851059083614,-0.00010027116504447694,-0.12769787388888007,0.0372,0.0010714285714285715
tcn,index_hk,intraday,index_threshold,1.0,1.5,-0.004022353172850877,-0.00018879575520841011,-0.12780700087300703,0.0372,0.0016071428571428571
tcn,index_hk,intraday,index_threshold,1.0,2.0,-0.005908460857694754,-0.0002773203453723456,-0.12791612785713402,0.0372,0.002142857142857143
tcn,index_hk,cc,index_threshold,1.0,0.0,0.43960270131363594,0.026924800650836307,-0.0622622870784251,0.0374,0.0
tcn,index_hk,cc,index_threshold,1.0,1.0,0.43804504382454057,0.026826439995098598,-0.06228212834826637,0.0374,0.0005952380952380953
tcn,index_hk,cc,index_threshold,1.0,1.5,0.437266004573834,0.026777259667229745,-0.06229204898318701,0.0374,0.0008928571428571428
tcn,index_hk,cc,index_threshold,1.0,2.0,0.43648682533111993,0.026728079339360895,-0.06230196961810764,0.0374,0.0011904761904761906
tcn,index_kr,gap,index_threshold,1.0,0.0,-0.6052004522252307,-0.030727345229234922,-0.2749086277206212,0.0175,0.0
tcn,index_kr,gap,index_threshold,1.0,1.0,-0.6068636204840582,-0.03081604430939261,-0.2752062467682402,0.0175,0.0005357142857142857
tcn,index_kr,gap,index_threshold,1.0,1.5,-0.6076948838238408,-0.030860393849471455,-0.2753550562920497,0.0175,0.0008035714285714287
tcn,index_kr,gap,index_threshold,1.0,2.0,-0.6085259328488547,-0.030904743389550293,-0.2755038658158592,0.0175,0.0010714285714285715
tcn,index_kr,intraday,index_threshold,1.0,0.0,-0.34605680268569405,-0.024885176062697165,-0.2872200532322747,0.0115,0.0
tcn,index_kr,intraday,index_threshold,1.0,1.0,-0.3476279170458517,-0.0249968712006735,-0.28725973577195724,0.0115,0.0006746031746031747
tcn,index_kr,intraday,index_threshold,1.0,1.5,-0.3484134803469033,-0.02505271876966168,-0.2872795770417985,0.0115,0.0010119047619047618
tcn,index_kr,intraday,index_threshold,1.0,2.0,-0.3491990473979554,-0.025108566338649854,-0.2872994183116398,0.0115,0.0013492063492063493
tcn,index_kr,cc,index_threshold,1.0,0.0,-0.8017644873820002,-0.06233063411269001,-0.4467884249682528,0.014499999999999999,0.0
tcn,index_kr,cc,index_threshold,1.0,1.0,-0.8043464280733554,-0.06253431348194101,-0.4476812821111101,0.014499999999999999,0.0012301587301587302
tcn,index_kr,cc,index_threshold,1.0,1.5,-0.8056371137198912,-0.0626361531665665,-0.44812771068253865,0.014499999999999999,0.0018452380952380955
tcn,index_kr,cc,index_threshold,1.0,2.0,-0.8069276087719452,-0.06273799285119198,-0.4485741392539672,0.014499999999999999,0.0024603174603174604
