date,gross_return,turnover,spread_cost,impact_cost,borrow_cost,net_return,cumulative_net,gate
2020-02-03,-0.001341342713319888,1.0,0.02499440616949656,0.0012331877705876522,0.0,-0.0275689366534041,-0.0275689366534041,1
2020-02-04,-0.01440600287935816,0.30000000000000004,0.018389300401679923,0.0013432741724324667,0.0,-0.03413857745347055,-0.06170751410687465,1
2020-02-05,-0.0075406204972414004,0.30000000000000004,0.01432386656376069,0.0010767403228918043,0.0,-0.022941227383893897,-0.08464874149076855,1
2020-02-06,-0.008886008583099986,0.3999999999999999,0.016693553260826104,0.00045622545979767757,0.0,-0.026035787303723766,-0.11068452879449231,1
2020-02-07,-0.02147255221195995,0.19999999999999996,0.009606061272903308,0.00018209527446759498,0.0,-0.03126070875933085,-0.14194523755382316,1
2020-02-10,-0.013765595612840359,0.09999999999999998,0.006575800060714699,0.0007989436459604391,0.0,-0.0211403393195155,-0.16308557687333866,1
2020-02-11,0.019115761552397484,0.09999999999999998,0.004697292981548506,5.47038881435847e-05,0.0,0.014363764682705393,-0.14872181219063327,1
2020-02-12,0.008409311332361993,0.30000000000000004,0.01529628163515312,0.0009438681617810425,0.0,-0.00783083846457217,-0.15655265065520543,1
2020-02-13,-0.006877801665166241,0.30000000000000004,0.013934191899207173,0.00028815121516644147,0.0,-0.021100144779539854,-0.1776527954347453,1
2020-02-14,0.01585590629350145,0.30000000000000004,0.01624707143784594,0.0009245854520248027,0.0,-0.0013157505963692917,-0.1789685460311146,1
2020-02-17,-0.006444347260413555,0.09999999999999998,0.006265479763818155,0.0007083989751523948,0.0,-0.013418225999384104,-0.1923867720304987,1
2020-02-18,-0.013077036219950579,0.3999999999999999,0.020194302476142702,0.0010513752572247077,0.0,-0.034322713953317985,-0.22670948598381668,1
2020-02-19,-0.0008088659433230783,0.6,0.02447598370186574,0.0009589206925814699,0.0,-0.026243770337770287,-0.252953256321587,1
2020-02-20,-0.019385456346892076,0.4,0.022764166803192057,0.0008350809867306473,0.0,-0.04298470413681478,-0.29593796045840176,1
2020-02-21,0.000456185021596665,0.19999999999999996,0.012542409372408534,0.0008687900077716936,0.0,-0.012955014358583563,-0.3088929748169853,1
2020-02-24,-0.004221114078389475,0.3999999999999999,0.017416193674187227,0.0004470605291503204,0.0,-0.022084368281727024,-0.3309773430987123,1
2020-02-25,0.019131333089954045,0.19999999999999996,0.010803291726536336,0.0008647512480522159,0.0,0.007463290115365492,-0.3235140529833468,1
2020-02-26,0.008389688934679581,0.19999999999999996,0.01102811045705292,0.0007174294185628556,0.0,-0.003355850940936194,-0.326869903924283,1
2020-02-27,-0.005072184000670067,0.30000000000000004,0.015044343563601015,0.0006051488310368242,0.0,-0.020721676395307906,-0.3475915803195909,1
2020-02-28,-0.009636642432195003,0.6,0.02389416093640076,0.001004824505848058,0.0,-0.03453562787444382,-0.38212720819403473,1
2020-03-02,0.013273703674605673,0.5,0.016190796614303008,0.0004347175795450367,0.0,-0.0033518105192423733,-0.3854790187132771,1
2020-03-03,0.00667753906718378,0.3999999999999999,0.012881150082044327,0.000399817602552078,0.0,-0.006603428617412625,-0.39208244733068975,1
2020-03-04,0.0028110478945645202,0.19999999999999996,0.007402428912122099,0.00014185399107653984,0.0,-0.004733235008634119,-0.39681568233932385,1
2020-03-05,-0.007457669753655829,0.4,0.018872218999520844,0.00041425187861128044,0.0,-0.026744140631787955,-0.42355982297111183,1
2020-03-06,-0.0011602905335629209,0.4,0.01925697878768055,0.000510488710009741,0.0,-0.020927758031253213,-0.4444875810023651,1
2020-03-09,0.013053069922915203,0.6,0.020233117397062822,0.0006900214914824257,0.0,-0.007870068965630046,-0.4523576499679951,1
2020-03-10,0.00030238314214068793,0.8,0.028005740639089713,0.0008201311540323787,0.0,-0.028523488650981404,-0.4808811386189765,1
2020-03-11,0.006105812204974418,0.4,0.02019806692387813,0.0006228794978663459,0.0,-0.014715134216770058,-0.4955962728357466,1
2020-03-12,-0.015225302017074574,0.30000000000000004,0.014796917907957188,0.00047952373080860247,0.0,-0.030501743655840366,-0.5260980164915869,1
2020-03-13,0.011697878528773593,0.30000000000000004,0.008357764332755192,0.0005172014116776944,0.0,0.0028229127843407073,-0.5232751037072463,1
2020-03-16,0.006299466282287891,0.30000000000000004,0.01526506873573983,0.0005170952767986891,0.0,-0.009482697730250629,-0.532757801437497,1
2020-03-17,0.008753876700604173,0.6,0.02167414542632016,0.0006139685293069833,0.0,-0.013534237255022969,-0.54629203869252,1
2020-03-18,-0.01719504059111643,0.30000000000000004,0.013083775677366793,0.0005250483086887729,0.0,-0.030803864577171994,-0.577095903269692,1
2020-03-19,-0.001214650445084394,0.7,0.03397384037746842,0.0011220957159494911,0.0,-0.036310586538502304,-0.6134064898081942,1
2020-03-20,-0.02693028101757906,0.6,0.025338269588425496,0.0008015993342922469,0.0,-0.0530701499402968,-0.666476639748491,1
2020-03-23,-0.004274028728425937,0.6,0.03209650951307396,0.001019894802649578,0.0,-0.037390433044149476,-0.7038670727926405,1
