date,ticker,adv_usd,btc_corr_60d,rank,flat_month_flag
2019-01-02,,,,,True
2019-02-01,,,,,True
2019-03-04,,,,,True
2019-04-01,,,,,True
2019-05-02,,,,,True
2019-06-03,,,,,True
2019-07-01,,,,,True
2019-08-01,,,,,True
2019-09-02,,,,,True
2019-10-01,,,,,True
2019-11-01,,,,,True
2019-12-02,,,,,True
2020-01-02,,,,,True
2020-02-03,,,,,True
2020-03-02,,,,,True
2020-04-01,,,,,True
2020-05-04,,,,,True
2020-06-01,,,,,True
2020-07-01,,,,,True
2020-08-03,,,,,True
2020-09-01,,,,,True
2020-10-05,,,,,True
2020-11-02,,,,,True
2020-12-01,,,,,True
2021-01-04,,,,,True
2021-02-01,352820.KS,103444213.80143093,0.38636264786268976,1.0,False
2021-02-01,251270.KS,60242383.90741219,0.18724430605752915,2.0,False
2021-02-01,017670.KS,86861796.9608406,0.1313966620204493,3.0,False
2021-02-01,000660.KS,592732491.2188873,0.08986317925795927,4.0,False
2021-02-01,035420.KS,377956004.2410092,0.0692662910560677,5.0,False
2021-02-01,034730.KS,190368598.5840531,0.056881805707308164,6.0,False
2021-02-01,055550.KS,73128658.6134123,0.05535609228813017,7.0,False
2021-02-01,005930.KS,2248799759.6724987,-0.09523461909352998,8.0,False
2021-02-01,036570.KS,88101272.67616306,-0.1419008358617022,9.0,False
2021-02-01,035720.KS,357814035.80927217,-0.167352724444286,10.0,False
2021-03-02,352820.KS,99161021.68722627,0.268785198104585,1.0,False
2021-03-02,251270.KS,55305907.11330386,0.17451021172269393,2.0,False
2021-03-02,036570.KS,89840873.21456061,0.13192816772823018,3.0,False
2021-03-02,035420.KS,325962196.9071182,0.09325880891304744,4.0,False
2021-03-02,017670.KS,57294618.08500676,0.04535148508575715,5.0,False
2021-03-02,000660.KS,545245978.4829385,-0.02611208226548104,6.0,False
2021-03-02,034730.KS,94986654.30496886,-0.05221187210012847,7.0,False
2021-03-02,005930.KS,1417457654.2424283,-0.12298552960110101,8.0,False
2021-03-02,035720.KS,291380485.61081266,-0.1261029034130336,9.0,False
2021-04-01,,,,,True
2021-05-03,,,,,True
2021-06-01,,,,,True
2021-07-01,,,,,True
2021-08-02,,,,,True
2021-09-01,,,,,True
2021-10-01,,,,,True
2021-11-01,,,,,True
2021-12-01,,,,,True
2022-01-03,,,,,True
2022-02-03,,,,,True
2022-03-02,,,,,True
2022-04-01,,,,,True
2022-05-02,,,,,True
2022-06-02,,,,,True
2022-07-01,,,,,True
2022-08-01,,,,,True
2022-09-01,,,,,True
2022-10-04,,,,,True
2022-11-01,,,,,True
2022-12-01,,,,,True
2023-01-02,,,,,True
2023-02-01,,,,,True
2023-03-02,,,,,True
2023-04-03,,,,,True
2023-05-02,,,,,True
2023-06-01,,,,,True
2023-07-03,,,,,True
2023-08-01,,,,,True
2023-09-01,,,,,True
2023-10-04,,,,,True
2023-11-01,,,,,True
2023-12-01,,,,,True
2024-01-02,,,,,True
2024-02-01,,,,,True
2024-03-04,,,,,True
2024-04-01,,,,,True
2024-05-02,,,,,True
2024-06-03,,,,,True
2024-07-01,,,,,True
2024-08-01,,,,,True
2024-09-02,,,,,True
2024-10-02,,,,,True
2024-11-01,,,,,True
2024-12-02,,,,,True
2025-01-02,,,,,True
2025-02-03,,,,,True
2025-03-04,,,,,True
2025-04-01,,,,,True
2025-05-02,,,,,True
2025-06-02,,,,,True
2025-07-01,377300.KS,201151197.39097744,0.11440317711920094,1.0,False
2025-07-01,035720.KS,340965921.3570913,0.064491383489763,2.0,False
2025-07-01,323410.KS,94207254.16773519,0.042545814543601505,3.0,False
2025-07-01,035420.KS,424437176.10012573,0.03689966554359691,4.0,False
2025-07-01,055550.KS,107655218.754648,-0.07325761188938307,5.0,False
2025-07-01,352820.KS,54436569.1515578,-0.16524397604841978,6.0,False
2025-07-01,034730.KS,62929755.364108905,-0.19307843042534073,7.0,False
2025-07-01,000660.KS,813554782.0491824,-0.27597085202299954,8.0,False
2025-07-01,005930.KS,853519581.7424858,-0.2811868355101335,9.0,False
2025-08-01,,,,,True
2025-09-01,,,,,True
2025-10-01,,,,,True
2025-11-03,,,,,True
2025-12-01,,,,,True
2026-01-02,,,,,True
2026-02-02,005930.KS,3429751928.139098,0.16210665285677447,1.0,False
2026-02-02,035420.KS,409719830.8972586,0.12310215921910908,2.0,False
2026-02-02,034730.KS,56499144.61041705,0.10198644783524569,3.0,False
