model,universe,target,strategy,gate,gross_sharpe,net_sharpe,ann_return,max_drawdown,daily_turnover,calmar,pct_days_invested,gross_pnl,spread_cost,impact_cost,borrow_cost,residual
lgbm,main_hk,gap,tercile_ls,gate_on,2.522318138448117,-1.8127996506932829,-0.19749017910356856,-1.381042839340962,0.3125719962088072,-0.14300076252363866,71.98162729658793,1.6484691694790297,2.1936005952380953,0.43155521294664245,0.21765873015873016,-3.3306690738754696e-16
lgbm,main_hk,gap,tercile_lo,gate_on,2.213916512514772,-8.935276272771485,-0.7231372275439415,-4.406656994855797,0.3125719962088072,-0.16410109259425248,71.98162729658793,0.8770531450323058,4.3872011904761905,0.8631104258932849,0.0,-8.881784197001252e-16
lgbm,main_hk,gap,tercile_ls,gate_off,3.037844723885514,-1.9422006516802806,-0.2579224225409858,-1.7349274313163519,0.42752989209682124,-0.14866467489380278,100.0,2.420199596822525,3.0644589285714288,0.6131762712370584,0.3023809523809524,7.771561172376096e-16
lgbm,main_hk,gap,tercile_lo,gate_off,2.4643402675782538,-11.357881459100277,-1.0225993643467757,-6.213973934481516,0.42752989209682124,-0.1645644759905321,100.0,1.1709790057102833,6.1289178571428575,1.2263525424741168,0.0,-6.661338147750939e-16
lgbm,main_hk,intraday,tercile_ls,gate_on,0.6060348216986455,-2.335174858558528,-0.5068376057155138,-3.1921740808175354,0.43305394117401996,-0.1587750520127366,71.98162729658793,0.7928341032532162,3.0621898809523804,0.5781462505168786,0.21765873015873016,-1.2212453270876722e-15
lgbm,main_hk,intraday,tercile_lo,gate_on,0.7161822222281021,-8.843973458220955,-1.1195912590413621,-6.7723453104227405,0.43305394117401996,-0.16531809996727345,71.98162729658793,0.5098108392121878,6.124379761904761,1.1562925010337572,0.0,-1.7763568394002505e-15
lgbm,main_hk,intraday,tercile_ls,gate_off,0.3519157217565092,-3.191065042576066,-0.8020780654988313,-4.92963463440693,0.5973866547931509,-0.16270537777802818,100.0,0.5345503182274086,4.267531547619047,0.8153004048155776,0.3023809523809524,-1.1102230246251565e-15
lgbm,main_hk,intraday,tercile_lo,gate_off,0.3848083168098213,-11.637828010319751,-1.6278495997769542,-9.830842113817278,0.5973866547931509,-0.16558597736901975,100.0,0.3210496585990995,8.535063095238094,1.6306008096311553,0.0,-8.881784197001252e-16
lgbm,main_hk,cc,tercile_ls,gate_on,1.0620816961541633,-0.9639428560018306,-0.22980645954698914,-1.61414115819448,0.3197244875640545,-0.14237073280755838,71.98162729658793,1.528014097154943,2.258667857142857,0.44146943187562343,0.21765873015873016,1.6653345369377348e-16
lgbm,main_hk,cc,tercile_lo,gate_on,0.8883931294084617,-5.484116047408578,-0.7754044799583154,-4.6914168838206765,0.3197244875640545,-0.16528151284795398,71.98162729658793,0.710923675431911,4.517335714285714,0.8829388637512469,0.0,-7.771561172376096e-16
lgbm,main_hk,cc,tercile_ls,gate_off,0.9783751632698312,-1.4202020896592564,-0.4104002532245825,-2.6331971694874245,0.4494707692788402,-0.15585625640956868,100.0,1.7076884031836586,3.2241220238095236,0.6631298155418477,0.3023809523809524,0.0
lgbm,main_hk,cc,tercile_lo,gate_off,0.7206502169255533,-7.079585672605191,-1.1704907187043625,-7.075913531836408,0.4494707692788402,-0.16541902518141507,100.0,0.6958217132049331,6.448244047619047,1.3262596310836954,0.0,-1.3322676295501878e-15
lgbm,main_kr,gap,tercile_ls,gate_on,3.4573233012668165,-0.5103789022845955,-0.04966213447114366,-0.5945395934527404,0.3399029692857664,-0.08353040742456672,72.29152987524623,2.0380658304736654,1.6393777777777778,0.5240667463449022,0.17476190476190476,-3.608224830031759e-16
lgbm,main_kr,gap,tercile_lo,gate_on,3.179279290429387,-8.020520780898762,-0.5280270333013475,-3.1916333047196206,0.3399029692857664,-0.16544100868997974,72.29152987524623,1.1356780493645973,3.2787555555555556,1.0481334926898045,0.0,0.0
lgbm,main_kr,gap,tercile_ls,gate_off,3.768041986292051,-0.5982387621367339,-0.07565281535391472,-0.8849450161335022,0.475260815641643,-0.0854887184793205,100.0,2.869952008310807,2.3128111111111114,0.7726140630092676,0.24174603174603176,-1.6653345369377348e-16
lgbm,main_kr,gap,tercile_lo,gate_off,3.378404143388021,-9.577116344366814,-0.7645061337064116,-4.611361116500531,0.475260815641643,-0.16578752225038926,100.0,1.5504422465151033,4.625622222222223,1.5452281260185352,0.0,-6.661338147750939e-16
lgbm,main_kr,intraday,tercile_ls,gate_on,0.5035095466366438,-1.6891516894750942,-0.3171914150960845,-2.0394868830862096,0.3796527321806376,-0.15552510669551423,72.29152987524623,0.5704409012295331,1.7656111111111115,0.5470620329411867,0.17476190476190476,-2.7755575615628914e-17
lgbm,main_kr,intraday,tercile_lo,gate_on,0.12684001326447322,-7.101131674787385,-0.7526568103692315,-4.54879492933468,0.3796527321806376,-0.16546290216677612,72.29152987524623,0.076551358769915,3.531222222222223,1.0941240658823734,0.0,-2.220446049250313e-16
lgbm,main_kr,intraday,tercile_ls,gate_off,1.0013690746490898,-1.6416041952402696,-0.3535636793503603,-2.3542328861206734,0.509188735682498,-0.15018211725559819,100.0,1.3041769813056419,2.414300000000001,0.7849463608715093,0.24174603174603176,1.6653345369377348e-16
lgbm,main_kr,intraday,tercile_lo,gate_off,0.4820330600021927,-8.57041297592516,-1.0034395694498937,-6.067184905423318,0.509188735682498,-0.16538799873281296,100.0,0.3340543714565587,4.828600000000002,1.5698927217430185,0.0,8.881784197001252e-16
lgbm,main_kr,cc,tercile_ls,gate_on,0.17352482016602117,-1.8726013186825032,-0.37372704184148176,-2.374895186385118,0.36931859633763775,-0.1573656993302261,72.29152987524623,0.2085680515033046,1.738444444444445,0.55403743533099,0.17476190476190476,7.494005416219807e-16
lgbm,main_kr,cc,tercile_lo,gate_on,-0.18961817799934103,-6.313310000063035,-0.7809708770786553,-4.724041797972193,0.36931859633763775,-0.16531836729596447,72.29152987524623,-0.13495150152370156,3.47688888888889,1.10807487066198,0.0,4.440892098500626e-16
lgbm,main_kr,cc,tercile_ls,gate_off,0.589760267190641,-1.7432255618983201,-0.4193119265335851,-2.673316689847991,0.494816517108047,-0.15685082434338443,100.0,0.857963106136277,2.365177777777778,0.7852141541944122,0.24174603174603176,-2.7755575615628914e-16
lgbm,main_kr,cc,tercile_lo,gate_off,0.24459394442316668,-7.011059614752672,-1.0079496221553086,-6.098789005828905,0.494816517108047,-0.16527045306731594,100.0,0.20908833004543276,4.730355555555556,1.5704283083888244,0.0,-8.881784197001252e-16
lgbm,control_hk,gap,tercile_ls,gate_on,1.9849953239832003,-1.101113592542422,-0.10825982795682827,-0.7462670377536881,0.2801509186351706,-0.14506848417517854,71.98162729658793,1.171233491278731,1.3579777777777782,0.3373746730493907,0.13059523809523813,1.3877787807814457e-16
lgbm,control_hk,gap,tercile_lo,gate_on,2.1417655947129233,-6.715405249631344,-0.43768291474432447,-2.6679128655169344,0.2801509186351706,-0.16405442636505263,71.98162729658793,0.7437653696291372,2.7159555555555563,0.6747493460987815,0.0,0.0
