universe,model,target,strategy,gate_on_sharpe,days_active_gate_on,gate_off_sharpe,days_total,cost_of_inactivity
control_hk,lgbm,cc,tercile_lo,-3.960432584930016,71.98162729658793,-4.115147472887781,100.0,-0.10702252228958814
control_hk,lgbm,cc,tercile_ls,-0.9793198179803092,71.98162729658793,-0.9527419455686892,100.0,-0.033159966085705816
control_hk,lgbm,gap,tercile_lo,-6.715405249631344,71.98162729658793,-6.727182794487004,100.0,-0.10641211030503472
control_hk,lgbm,gap,tercile_ls,-1.101113592542422,71.98162729658793,-0.9547927342504616,100.0,-0.014494445480120396
control_hk,lgbm,intraday,tercile_lo,-4.697791587384559,71.98162729658793,-6.025346155197648,100.0,-0.268714496470303
control_hk,lgbm,intraday,tercile_ls,-1.049546317179621,71.98162729658793,-1.470884706211472,100.0,-0.13947299965616072
control_kr,lgbm,cc,tercile_lo,-3.576262436040904,72.28514323784144,-3.9636198982738056,100.0,-0.10042594377081998
control_kr,lgbm,cc,tercile_ls,-0.7371437081049246,72.28514323784144,-0.6278109237048247,100.0,0.0007209575531618162
control_kr,lgbm,gap,tercile_lo,-3.929166334181912,72.28514323784144,-4.221152822137781,100.0,-0.05739597467435009
control_kr,lgbm,gap,tercile_ls,0.3574134754173252,72.28514323784144,0.5766703122781,100.0,0.027956612948327603
control_kr,lgbm,intraday,tercile_lo,-3.127127431023392,72.28514323784144,-3.5763943954369157,100.0,-0.0995573073258279
control_kr,lgbm,intraday,tercile_ls,0.2401836676971876,72.28514323784144,0.4526370297429132,100.0,0.05285595662993339
index_hk,lgbm,cc,index_threshold,0.2478108288436201,32.98360655737705,0.828990116819425,49.31147540983606,0.1215651940873965
index_hk,lgbm,gap,index_threshold,1.5454818137751358,23.147540983606557,2.375899642292856,39.34426229508197,0.14300461049184468
index_hk,lgbm,intraday,index_threshold,-0.0822347423036851,46.0983606557377,-0.0044653475430547,66.88524590163935,0.0089952927666756
index_hk,tcn,cc,index_threshold,0.4973380196549758,3.672131147540984,0.2290895511721495,5.573770491803279,-0.0148954552022736
index_hk,tcn,gap,index_threshold,-0.0761610430771149,4.19672131147541,-0.0636979410975464,4.655737704918033,0.0004932216652504999
index_hk,tcn,intraday,index_threshold,0.078200679798391,4.786885245901639,0.0640385159716091,5.639344262295082,-0.0005839252672724003
index_kr,lgbm,cc,index_threshold,0.9013183142769234,19.71090670170828,1.1593496195464923,28.383705650459923,0.053892373395087984
index_kr,lgbm,gap,index_threshold,2.692366379837023,38.501971090670175,3.741183094572644,58.8042049934297,0.2354738954958602
index_kr,lgbm,intraday,index_threshold,0.1990488950382228,18.659658344283837,-0.6304244421071542,29.0407358738502,-0.08446760985650749
index_kr,tcn,cc,index_threshold,-0.7980065732738549,5.650459921156373,-0.5023851244932985,7.6215505913272015,0.0166442006508698
index_kr,tcn,gap,index_threshold,-0.5954477353704957,4.7963206307490145,-0.6874773252642209,5.650459921156373,-0.009296789416154402
index_kr,tcn,intraday,index_threshold,-0.3422916512792796,4.270696452036794,-0.2504778353623099,6.176084099868594,0.005241271158010201
main_hk,lgbm,cc,tercile_lo,-5.484116047408578,71.98162729658793,-7.079585672605191,100.0,-0.3950862387460471
main_hk,lgbm,cc,tercile_ls,-0.9639428560018306,71.98162729658793,-1.4202020896592564,100.0,-0.1805937936775934
main_hk,lgbm,gap,tercile_lo,-8.935276272771485,71.98162729658793,-11.357881459100277,100.0,-0.2994621368028342
main_hk,lgbm,gap,tercile_ls,-1.8127996506932829,71.98162729658793,-1.9422006516802808,100.0,-0.06043224343741729
main_hk,lgbm,intraday,tercile_lo,-8.843973458220955,71.98162729658793,-11.637828010319751,100.0,-0.5082583407355923
main_hk,lgbm,intraday,tercile_ls,-2.335174858558528,71.98162729658793,-3.191065042576066,100.0,-0.2952404597833175
main_hk,tcn,cc,tercile_lo,-6.553125622340407,71.98162729658793,-8.145918129636904,100.0,-0.39139231002777763
main_hk,tcn,cc,tercile_ls,-2.0559443662007166,71.98162729658793,-2.397534619816428,100.0,-0.1931673124317752
main_hk,tcn,gap,tercile_lo,-10.63726223221907,71.98162729658793,-14.567684982011205,100.0,-0.4347440857509757
main_hk,tcn,gap,tercile_ls,-2.8343909882095657,71.98162729658793,-3.7297463310324,100.0,-0.21139855089295623
main_hk,tcn,intraday,tercile_lo,-7.718983659720481,71.98162729658793,-9.583577943061991,100.0,-0.4084840237184375
main_hk,tcn,intraday,tercile_ls,-2.0432611200862616,71.98162729658793,-2.4591229365001417,100.0,-0.19391048769843722
main_kr,lgbm,cc,tercile_lo,-6.313310000063035,72.29152987524623,-7.011059614752672,100.0,-0.22697874507665328
main_kr,lgbm,cc,tercile_ls,-1.8726013186825032,72.29152987524623,-1.74322556189832,100.0,-0.04558488469210342
main_kr,lgbm,gap,tercile_lo,-8.020520780898762,72.29152987524623,-9.577116344366814,100.0,-0.23647910040506415
main_kr,lgbm,gap,tercile_ls,-0.5103789022845955,72.29152987524623,-0.5982387621367339,100.0,-0.0259906808827711
main_kr,lgbm,intraday,tercile_lo,-7.101131674787385,72.29152987524623,-8.57041297592516,100.0,-0.25078275908066217
main_kr,lgbm,intraday,tercile_ls,-1.6891516894750942,72.29152987524623,-1.6416041952402696,100.0,-0.03637226425427581
main_kr,tcn,cc,tercile_lo,-5.575389469348045,72.29152987524623,-6.728586759515702,100.0,-0.28700323372330316
main_kr,tcn,cc,tercile_ls,-1.594746796639494,72.29152987524623,-1.7120198009397605,100.0,-0.0954639121538739
main_kr,tcn,gap,tercile_lo,-9.741697155914244,72.29152987524623,-12.059676275341648,100.0,-0.29910036867234946
main_kr,tcn,gap,tercile_ls,-1.7503021254564164,72.29152987524623,-2.1585841070830716,100.0,-0.10942744589304193
main_kr,tcn,intraday,tercile_lo,-6.698585544867368,72.29152987524623,-7.99954524424442,100.0,-0.27941568114334603
main_kr,tcn,intraday,tercile_ls,-1.2649692985871277,72.29152987524623,-1.372028666060416,100.0,-0.0721710978954635
