model,universe,target,strategy,spread_mult,borrow_mult,net_sharpe,ann_return,max_drawdown,spread_cost,borrow_cost
lgbm,main_hk,gap,tercile_ls,1.0,0.0,-1.48368194237513,-0.16149936545527455,-1.2352095060076271,2.1936005952380953,0.0
lgbm,main_hk,gap,tercile_ls,1.0,1.0,-1.8127996506932829,-0.19749017910356856,-1.381042839340962,2.1936005952380953,0.21765873015873016
lgbm,main_hk,gap,tercile_ls,1.0,1.5,-1.9770264036836107,-0.21548558592771547,-1.4539595060076262,2.1936005952380953,0.3264880952380952
lgbm,main_hk,gap,tercile_ls,1.0,2.0,-2.141004787833387,-0.23348099275186246,-1.5268761726742943,2.1936005952380953,0.4353174603174603
lgbm,main_hk,intraday,tercile_ls,1.0,0.0,-2.170606177495959,-0.47084679206721985,-2.981687806087727,3.0621898809523804,0.0
lgbm,main_hk,intraday,tercile_ls,1.0,1.0,-2.335174858558528,-0.5068376057155138,-3.1921740808175354,3.0621898809523804,0.21765873015873016
lgbm,main_hk,intraday,tercile_ls,1.0,1.5,-2.417349748561554,-0.5248330125396607,-3.2980272554207155,3.0621898809523804,0.3264880952380952
lgbm,main_hk,intraday,tercile_ls,1.0,2.0,-2.499448328727982,-0.5428284193638078,-3.403880430023889,3.0621898809523804,0.4353174603174603
lgbm,main_hk,cc,tercile_ls,1.0,0.0,-0.813144900973702,-0.19381564589869518,-1.4464824280357507,2.258667857142857,0.0
lgbm,main_hk,cc,tercile_ls,1.0,1.0,-0.9639428560018306,-0.22980645954698914,-1.61414115819448,2.258667857142857,0.21765873015873016
lgbm,main_hk,cc,tercile_ls,1.0,1.5,-1.0393046774701975,-0.24780186637113608,-1.697970523273843,2.258667857142857,0.3264880952380952
lgbm,main_hk,cc,tercile_ls,1.0,2.0,-1.1146390933311014,-0.26579727319528307,-1.781799888353211,2.258667857142857,0.4353174603174603
lgbm,main_kr,gap,tercile_ls,1.0,0.0,-0.21323711016720984,-0.02074552252104519,-0.501251602185178,1.6393777777777778,0.0
lgbm,main_kr,gap,tercile_ls,1.0,1.0,-0.5103789022845955,-0.04966213447114366,-0.5945395934527404,1.6393777777777778,0.17476190476190476
lgbm,main_kr,gap,tercile_ls,1.0,1.5,-0.6588801330396149,-0.06412044044619293,-0.6681903871035343,1.6393777777777778,0.26214285714285723
lgbm,main_kr,gap,tercile_ls,1.0,2.0,-0.8073150067692558,-0.07857874642124217,-0.7418411807543269,1.6393777777777778,0.3495238095238095
lgbm,main_kr,intraday,tercile_ls,1.0,0.0,-1.5357413184960285,-0.2882748031459861,-1.8975821211814476,1.7656111111111115,0.0
lgbm,main_kr,intraday,tercile_ls,1.0,1.0,-1.6891516894750942,-0.3171914150960845,-2.0394868830862096,1.7656111111111115,0.17476190476190476
lgbm,main_kr,intraday,tercile_ls,1.0,1.5,-1.7657896064590222,-0.3316497210711338,-2.1104392640385914,1.7656111111111115,0.26214285714285723
