market,target,gross_sharpe,net_sharpe,ann_return_gross,ann_return_net,ann_vol,max_drawdown_net,calmar_net,avg_turnover,pct_days_invested,breakeven_cost_multiplier,bootstrap_ic_pvalue,obs_ic,avg_cost_bps
HK,gap,3.037844723885514,-1.565691964970103,0.40019048451396083,-0.20792242254098578,0.1327990608580252,-1.520687862280648,-0.13672919189948332,0.42752989209682124,100.0,0.6591796875,0.0,0.06099404787317302,24.131464565672484
HK,intraday,0.3519157217565092,-2.992140200977793,0.08839021010059513,-0.752078065498831,0.25135121183594994,-4.63920625292641,-0.16211352211909535,0.5973866547931509,100.0,0.1025390625,,,33.35191569838993
HK,cc,0.9783751632698312,-1.2471756260422757,0.28237367296737664,-0.36040025322458247,0.2889731371420868,-2.389352258572154,-0.1508359648233505,0.4494707692788402,100.0,0.4345703125,0.032,0.014367252115182664,25.50690183301425
KR,gap,3.768041986292051,-0.28193129395430727,0.4748705883744737,-0.03565281535391469,0.12645923357374067,-0.6903418415303274,-0.051645160714698504,0.475260815641643,100.0,0.9326171875,0.0,0.060820211085014564,20.258865227316996
KR,intraday,1.0013690746490898,-1.4558832865477744,0.2157929082659368,-0.31356367935036017,0.21537693457137622,-2.162169394057181,-0.14502271663460037,0.509188735682498,100.0,0.4052734375,,,21.0062137942975
KR,cc,0.589760267190641,-1.5769316454519728,0.14196106549333015,-0.3793119265335851,0.24053796347327944,-2.4379198644511724,-0.15558834892999088,0.494816517108047,100.0,0.2685546875,0.255,0.007631234493343589,20.685436191544255
