model,universe,target,strategy,gate,net_sharpe_fixed,gross_sharpe_fixed,ann_return_fixed,spread_cost_fixed,max_drawdown_fixed,pct_days_invested,net_sharpe_cs,ann_return_cs,spread_cost_cs,max_drawdown_cs,delta_net_sharpe,spread_cost_ratio
lgbm,control_hk,cc,tercile_lo,gate_off,-4.115147472887781,0.4207030746170569,-0.5732939798730065,3.0148888888888896,-3.4750130006750273,100.0,-13.66342221833538,-2.6457555845881067,15.548347165023069,-15.987749551299274,-9.5482747454476,5.157187457993941
lgbm,control_hk,cc,tercile_lo,gate_on,-3.960432584930016,0.1641089426491254,-0.4662714575834183,2.321244444444445,-2.8229522748821005,71.98162729658793,-11.189300525828244,-2.060671776207009,11.96357018088235,-12.4621578846805,-7.228867940898228,5.153946715743525
lgbm,control_hk,cc,tercile_ls,gate_off,-0.9527419455686892,0.4915216559422589,-0.2278355712279488,1.5074444444444448,-1.4829919396017222,100.0,-5.126966275407043,-1.264066373585499,7.774173582511534,-7.661411019889939,-4.174224329838355,5.157187457993941
lgbm,control_hk,cc,tercile_ls,gate_on,-0.9793198179803092,0.3492517420322676,-0.194675605142243,1.1606222222222224,-1.2051982056130888,71.98162729658793,-4.736508271352761,-0.9918757644540384,5.981785090441175,-5.99848676598395,-3.757188453372452,5.153946715743525
lgbm,control_hk,gap,tercile_lo,gate_off,-6.727182794487004,2.2563776323418168,-0.5440950250493591,3.43888888888889,-3.2877229524642426,100.0,-19.07410207937905,-2.8683339052896817,17.49500021224703,-17.33012035390055,-12.346919284892046,5.087399092414321
lgbm,control_hk,gap,tercile_lo,gate_on,-6.715405249631344,2.1417655947129233,-0.4376829147443244,2.7159555555555563,-2.6679128655169344,71.98162729658793,-14.809930417828964,-2.273782027153836,13.819983521079743,-13.750967497549391,-8.09452516819762,5.0884424425910115
lgbm,control_hk,gap,tercile_ls,gate_off,-0.9547927342504616,2.0670957081077557,-0.1227542734369486,1.719444444444445,-0.8182848860368942,100.0,-8.935068685504307,-1.28487371355711,8.747500106123516,-7.766136512114103,-7.980275951253845,5.087399092414321
lgbm,control_hk,gap,tercile_ls,gate_on,-1.101113592542422,1.9849953239832003,-0.1082598279568282,1.3579777777777782,-0.7462670377536881,71.98162729658793,-8.603186879225388,-1.026309384161584,6.909991760539872,-6.215980387862211,-7.5020732866829665,5.0884424425910115
lgbm,control_hk,intraday,tercile_lo,gate_off,-6.025346155197648,0.3163872022334087,-0.7696746024048714,3.895377777777779,-4.650697508084558,100.0,-19.34137062177407,-3.5032013364336154,20.426706121665894,-21.163561547774993,-13.316024466576422,5.2438318661146255
lgbm,control_hk,intraday,tercile_lo,gate_on,-4.697791587384559,0.5436844426870314,-0.5009601059345684,2.693422222222223,-3.047479707943771,71.98162729658793,-13.361436117366674,-2.406954076091263,14.220147660788898,-14.556341317313832,-8.663644529982115,5.279583551165805
lgbm,control_hk,intraday,tercile_ls,gate_off,-1.470884706211472,0.4516468438884307,-0.332515455793125,1.9476888888888897,-2.032960109930409,100.0,-7.270682053591219,-1.6992788228074969,10.213353060832947,-10.289015573722915,-5.799797347379747,5.2438318661146255
lgbm,control_hk,intraday,tercile_ls,gate_on,-1.049546317179621,0.5811455998568138,-0.1930424561369643,1.3467111111111114,-1.2434201592044112,71.98162729658793,-5.861170873993476,-1.1460394412153116,7.110073830394449,-6.95564883451882,-4.811624556813856,5.279583551165805
lgbm,control_kr,cc,tercile_lo,gate_off,-3.9636198982738056,0.3646105398138435,-0.4642782555044907,1.9271396825396827,-2.9284085511210747,100.0,-16.579669663482132,-2.889341894697787,16.371665565194988,-17.309157555173776,-12.616049765208327,8.495318587192171
lgbm,control_kr,cc,tercile_lo,gate_on,-3.576262436040904,0.1940279876137975,-0.3638523117336707,1.4557523809523811,-2.2594460860401195,72.28514323784144,-12.610944902128402,-2.2002283871830497,12.393849560513956,-13.087341170882873,-9.034682466087498,8.51370722293146
lgbm,control_kr,cc,tercile_ls,gate_off,-0.6278109237048247,0.6945214773634057,-0.1321739754689347,0.9635698412698414,-1.200124852608362,100.0,-6.072754220893046,-1.3447057950655823,8.185832782597494,-8.220107832112653,-5.444943297188221,8.495318587192171
lgbm,control_kr,cc,tercile_ls,gate_on,-0.7371437081049246,0.426578355581595,-0.1328949330220965,0.7278761904761906,-1.0358383412569732,72.28514323784144,-5.391051210394731,-1.0510829707467857,6.196924780256978,-6.31190847837768,-4.653907502289806,8.51370722293146
lgbm,control_kr,gap,tercile_lo,gate_off,-4.221152822137781,2.091285451299157,-0.2658129503848436,1.5182,-1.6844545291324309,100.0,-18.181179442674456,-2.1889972827464654,12.973357471725375,-13.091862708349687,-13.960026620536674,8.545222942777878
lgbm,control_kr,gap,tercile_lo,gate_on,-3.929166334181912,1.6563811785275933,-0.2084169757104935,1.133173015873016,-1.269296373714651,72.28514323784144,-13.494675034765702,-1.6507812462036626,9.724398293691456,-9.820556962411926,-9.565508700583791,8.5815653545188
lgbm,control_kr,gap,tercile_ls,gate_off,0.5766703122781,2.7921425845320837,0.0577491858470716,0.7591,-0.252131931510443,100.0,-8.104666251338706,-0.9038429803337392,6.486678735862688,-5.5424920430124525,-8.681336563616807,8.545222942777878
lgbm,control_kr,gap,tercile_ls,gate_on,0.3574134754173252,2.3174681354365374,0.029792572898744,0.566586507936508,-0.2007261274029269,72.28514323784144,-7.12264780527309,-0.6913895623478404,4.862199146845728,-4.141761751905482,-7.480061280690415,8.5815653545188
lgbm,control_kr,intraday,tercile_lo,gate_off,-3.5763943954369157,1.384462797992274,-0.3924681720053066,2.059119047619048,-2.382874564792598,100.0,-20.60467130334157,-3.0472870234238707,17.872147206266916,-18.12617249326208,-17.028276907904655,8.679511379845868
lgbm,control_kr,intraday,tercile_lo,gate_on,-3.127127431023392,1.0703818933865714,-0.2929108646794787,1.49854126984127,-1.7604898717082968,72.28514323784144,-14.488564747169676,-2.188521802625127,12.789461975620709,-13.009372891597494,-11.361437316146283,8.534607776918556
lgbm,control_kr,intraday,tercile_ls,gate_off,0.4526370297429132,1.8425493640452013,0.0966380034730133,1.029559523809524,-0.3318446282729813,100.0,-5.6219827474422654,-1.2307714222362685,8.936073603133458,-7.372956956486033,-6.074619777185179,8.679511379845868
lgbm,control_kr,intraday,tercile_ls,gate_on,0.2401836676971876,1.4114885835164763,0.0437820468430799,0.7492706349206351,-0.3362276116037999,72.28514323784144,-4.764495264345612,-0.9040234221297442,6.3947309878103535,-5.369373502137961,-5.0046789320428,8.534607776918552
lgbm,index_hk,cc,index_threshold,gate_off,0.828990116819425,1.093335452381326,0.1547867983005719,0.2915999999999999,-0.2788036384452215,49.31147540983606,0.5478933937276151,0.1023212245300801,0.6091,-0.3652421044723054,-0.2810967230918099,2.088820301783265
